"","cmplnt_num","cmplnt_fr_dt","cmplnt_fr_tm","addr_pct_cd","rpt_dt","ky_cd","ofns_desc","pd_cd","pd_desc","crm_atpt_cptd_cd","law_cat_cd","boro_nm","loc_of_occur_desc","prem_typ_desc","juris_desc","jurisdiction_code","housing_psa","x_coord_cd","y_coord_cd","susp_age_group","susp_race","susp_sex","latitude","longitude","lat_lon.latitude","lat_lon.longitude","patrol_boro","vic_age_group","vic_race","vic_sex","cmplnt_to_dt","cmplnt_to_tm","parks_nm","hadevelopt","transit_district","station_name"
"5697","278617041",2016-09-11,"06:00:00","78",2016-09-19,"341","PETIT LARCENY","343","LARCENY,PETIT OF BICYCLE","COMPLETED","MISDEMEANOR","BROOKLYN","FRONT OF","RESIDENCE-HOUSE","N.Y. POLICE DEPT","0","NA","989173","182673",NA,NA,NA,"40.668078763","-73.982255374","40.668078763","-73.982255374","PATROL BORO BKLYN SOUTH","25-44","WHITE","F",2016-09-18,"06:00:00",NA,NA,NA,NA
"5698","231126011",2012-06-20,"00:05:00","76",2012-06-20,"361","OFF. AGNST PUB ORD SENSBLTY &","652","RIOT 2/INCITING","COMPLETED","MISDEMEANOR","BROOKLYN","FRONT OF","RESIDENCE - PUBLIC HOUSING","N.Y. HOUSING POLICE","2","245","987560","187813",NA,NA,NA,"40.682187659","-73.988067275","40.682187659","-73.988067275","PATROL BORO BKLYN SOUTH",NA,"UNKNOWN","E",2012-06-20,"00:17:00","NA","GOWANUS",NA,NA
"5699","736012856",2016-07-16,"13:00:00","60",2016-07-17,"351","CRIMINAL MISCHIEF & RELATED OF","254","MISCHIEF, CRIMINAL 4, OF MOTOR","COMPLETED","MISDEMEANOR","BROOKLYN",NA,"STREET","N.Y. POLICE DEPT","0","NA","985414","149770",NA,NA,NA,"40.577768189","-73.99581121","40.577768189","-73.99581121","PATROL BORO BKLYN SOUTH","45-64","WHITE HISPANIC","F",2016-07-16,"23:43:00",NA,NA,NA,NA
"5700","105539844",2013-06-20,"10:00:00","1",2013-06-20,"341","PETIT LARCENY","301","LARCENY,PETIT BY ACQUIRING LOS","COMPLETED","MISDEMEANOR","MANHATTAN","INSIDE","FAST FOOD","N.Y. POLICE DEPT","0","NA","982932","200142",NA,NA,NA,"40.716028413","-74.004755895","40.716028413","-74.004755895","PATROL BORO MAN SOUTH","45-64","WHITE","M",2013-06-20,"10:30:00","NA",NA,NA,NA
"5701","272014939",2015-05-21,"17:40:00","107",2015-05-21,"121","CRIMINAL MISCHIEF & RELATED OF","268","CRIMINAL MIS 2 & 3","COMPLETED","FELONY","QUEENS",NA,"HIGHWAY/PARKWAY","N.Y. POLICE DEPT","0","NA","1036658","205330",NA,NA,NA,"40.730113067","-73.810908915","40.730113067","-73.810908915","PATROL BORO QUEENS SOUTH",NA,"UNKNOWN","E",2015-05-21,"17:45:00",NA,NA,NA,NA
"5702","795934391",2015-10-31,"04:05:00","49",2015-10-31,"105","ROBBERY","391","ROBBERY,LICENSED MEDALLION CAB","COMPLETED","FELONY","BRONX","FRONT OF","STREET","N.Y. POLICE DEPT","0","NA","1021324","246049","45-64","BLACK","M","40.841953281","-73.866010469","40.841953281","-73.866010469","PATROL BORO BRONX","25-44","ASIAN / PACIFIC ISLANDER","M",2015-10-31,"04:12:00",NA,NA,NA,NA
"5703","792540491",2015-05-05,"03:45:00","9",2015-05-22,"347","INTOXICATED & IMPAIRED DRIVING","905","INTOXICATED DRIVING,ALCOHOL","COMPLETED","MISDEMEANOR","MANHATTAN","FRONT OF","STREET","N.Y. POLICE DEPT","0","NA","990011","205195","25-44","WHITE HISPANIC","M","40.729895901","-73.979215352","40.729895901","-73.979215352","PATROL BORO MAN SOUTH",NA,"UNKNOWN","E",2015-05-05,"03:51:00",NA,NA,NA,NA
"5704","374352359",2015-10-19,"15:02:00","18",2015-10-19,"109","GRAND LARCENY","433","LARCENY,GRAND FROM STORE-SHOPL","COMPLETED","FELONY","MANHATTAN","INSIDE","DEPARTMENT STORE","N.Y. POLICE DEPT","0","NA","990789","215510","25-44","WHITE","F","40.758207461","-73.976398247","40.758207461","-73.976398247","PATROL BORO MAN SOUTH","UNKNOWN","UNKNOWN","D",2015-10-19,"18:21:00",NA,NA,NA,NA
"5705","462333135",2017-02-10,"16:00:00","28",2017-02-14,"109","GRAND LARCENY","403","LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK","COMPLETED","FELONY","MANHATTAN","INSIDE","RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT","0","NA","997060","233171",NA,NA,NA,"40.806675356","-73.953728749","40.806675356","-73.953728749","PATROL BORO MAN NORTH","25-44","WHITE","F",2017-02-14,"09:20:00",NA,NA,NA,NA
"5706","416998288",2012-02-20,"15:45:00","41",2012-03-05,"359","OFFENSES AGAINST PUBLIC ADMINI","759","PUBLIC ADMINISTATION,UNCLASS M","COMPLETED","MISDEMEANOR","BRONX","INSIDE","OTHER","N.Y. POLICE DEPT","0","NA","1016513","227787",NA,NA,NA,"40.791848137","-73.883485908","40.791848137","-73.883485908","PATROL BORO BRONX",NA,"UNKNOWN","E",2012-02-20,"15:50:00","NA",NA,NA,NA
