Name,Category,Region,County,Golf,Camp,Playground,Nature Center,Beach,Facility URL,Golf URL,Nature Center URL,Longitude,Latitude,Location
Robert H. Treman,State Park,4,Tompkins,N,Y,Y,,Y,https://parks.ny.gov/parks/135/details.aspx,,,-76.57954421,42.40057564,"(42.40057564, -76.57954421)"
Trail View,State Park,9,Nassau,N,N,N,,N,https://parks.ny.gov/parks/39/details.aspx,,,-73.47016875,40.8141101,"(40.8141101, -73.47016875)"
Oquaga Creek,State Park,5,Broome/Delaware,N,Y,Y,,Y,https://parks.ny.gov/parks/27/details.aspx,,,-75.42467935,42.17805145,"(42.17805145, -75.42467935)"
Margaret Lewis Norrie,State Park,7,Dutchess,N,Y,N,N,N,https://parks.ny.gov/parks/171/details.aspx,,,-73.93895514,41.84153655,"(41.84153655, -73.93895514)"
Guy Park,State Historic Site,11,Montgomery,N,N,N,,N,,,,-74.20954822,42.94695201,"(42.94695201, -74.20954822)"
Walkway over the Hudson,State Historic Park,7,Dutchess,N,N,N,,N,https://parks.ny.gov/parks/178/details.aspx,,,-73.94495089,41.710587,"(41.710587, -73.94495089)"
Herkimer Home,State Historic Site,5,Herkimer,N,N,N,,N,https://parks.ny.gov/historic-sites/14/details.aspx,,,-74.81586505,43.02532856,"(43.02532856, -74.81586505)"
Wellesley Island,State Park,10,Jefferson,Y,Y,Y,Y-A,Y,https://parks.ny.gov/parks/52/details.aspx,https://parks.ny.gov/golf/7/details.aspx,https://parks.ny.gov/environment/nature-centers/2/details.aspx,-76.01544821,44.329238,"(44.329238, -76.01544821)"
Coxsackie Boat Launch,Marine Facility,11,Greene,N,N,Y,,N,,,,-73.79577523,42.35271611,"(42.35271611, -73.79577523)"
Lake Lauderdale,State Park,11,Washington,N,N,N,,Y,,,,-73.37041513,43.08508562,"(43.08508562, -73.37041513)"
Clermont,State Historic Site,7,Col/Dutch,N,N,N,,N,https://parks.ny.gov/historic-sites/16/details.aspx,,,-73.91104016,42.08330974,"(42.08330974, -73.91104016)"
